DO,pH,Alkalinity,Hardness,Nitrite,H2S,Salinity,Ammonia,Temperature,WSS,AHPND,TSV,YHV
5.87,9.46,184.54,281.65,0.34,0,10.59,0.04,31.18,0,0,0,0
5.49,6.15,119.55,38.69,1.52,0,21.28,0.08,32.88,1,1,0,1
5.77,9.27,30.93,35,0.43,0.01,24.53,1.2,31.88,0,1,0,1
6.22,6.29,138.26,69.99,1.14,0.01,12.72,4.48,33.91,0,0,0,1
5.6,6.47,109.09,52.9,1.48,0.01,13.6,5.23,29.43,1,1,0,0
6.88,9.44,158.12,61.98,0.13,0.02,24.2,1.59,30.86,0,1,0,0
7,6.42,27.02,170.71,1.66,0.01,11.14,0.89,30.56,1,1,1,1
5.76,9.35,27.57,47.34,1.34,0.01,10.09,3.69,29.14,0,1,0,1
7.03,9.19,45.63,204.2,1.71,0.01,22.05,3.54,33.91,0,1,0,1
5.86,9.2,36.1,224.36,0.46,0.02,24.68,0.26,31.98,0,1,0,1
7.76,6.03,45.86,46.54,1.09,0,22.16,5.6,30.88,1,1,1,1
5.15,6.13,44.09,72.7,1.64,0,24.51,0.21,29.28,1,1,1,1
6.57,6.14,182.22,37.72,1.74,0.01,17.09,3.57,30.01,0,0,0,0
6.91,6.08,38.38,54.56,1.69,0,18.48,5.54,31.24,1,1,1,1
5.9,6.47,37.7,72.93,0.84,0.01,15.87,0.66,32.54,1,1,1,1
7.39,6.09,43.22,254.4,1.17,0.01,23.47,0.04,36.63,1,1,1,1
7.28,9.3,47.89,73.5,0.83,0.01,22.28,3.64,35.88,0,1,0,1
6.07,6.38,124.28,22.89,1.22,0,15.42,4.61,31.04,0,0,0,1
6.29,6.3,147.3,243.43,1.66,0.01,22.76,0.45,35.01,0,0,0,1
6.26,9.36,111.95,252.93,0.12,0.01,21.33,4.39,30.87,0,1,0,1
5.42,9.09,32.52,63.29,0.78,0.02,20.44,0.37,31.07,0,1,0,1
7.92,6.19,159.48,57.02,1.46,0.01,15.41,0.55,36.57,0,0,0,1
6.34,9.26,39.16,39.1,1.05,0,20.44,1.3,30.28,0,1,0,1
7.39,6.36,30.96,280.29,0.25,0.01,15.59,4.36,33.64,1,1,1,0
6.99,6.39,29.38,72.95,0.81,0,18.43,2.12,33.58,1,1,1,1
7.15,6.44,175.61,42.72,1.14,0.01,18.95,0.74,31.21,0,0,0,1
7.83,6.11,44.1,45.2,0.61,0,23.66,0.89,34.02,1,1,1,1
5.98,9.21,29.49,299.75,0.5,0.01,19.71,3.57,34.87,0,1,0,0
5.11,9.39,182.57,36.32,1.77,0,12.81,5.51,28.17,0,1,0,0
7.07,6.34,176.04,227.72,0.73,0.02,17.81,0.21,28.72,0,0,0,0
5.55,9.4,47.73,26.15,0.88,0.01,24.78,0.62,34.97,0,1,0,1
5.26,9.05,180.76,64.26,0.31,0,23.13,1.14,33.36,0,1,0,1
7.4,6.35,172.18,32.45,1.58,0.02,15.26,5.65,30.82,0,0,0,0
5.04,6.12,33.96,281.86,0.81,0.02,24.72,0.32,29.79,1,1,1,1
6.82,9.22,39,216.5,1.94,0,20.89,1.14,28.08,0,1,0,1
7.23,6.37,40.42,211,0.8,0,17.93,4.11,28.58,1,1,1,1
7.9,6.11,25.99,275,1.7,0.01,22.61,1.89,33.79,1,1,1,1
6.87,6.38,199.4,67.02,0.44,0,24.83,0.44,35.47,0,0,0,1
5.47,9.37,25.03,37.1,1.71,0.02,20.51,2.15,31.92,0,1,0,1
6.32,6.04,181.67,263.13,0.69,0.01,11.77,0.97,29.42,0,0,0,0
5.95,6.31,182.9,59.4,0.16,0,10.47,2.92,28.36,0,0,0,0
6.43,6.09,185.99,70.71,0.12,0,21.32,0.04,31.19,0,0,0,1
6.95,6.42,116.95,58.51,1.56,0,24.89,5.45,32.86,1,1,0,1
5.51,9.4,157.04,197.53,1.32,0.01,18.47,3.95,29.13,0,1,0,0
5.16,9.41,43.3,263.84,0.05,0,12.67,2.62,33.68,0,1,0,0
5.58,6.07,173.19,52.55,0.35,0,21.27,0.66,33.02,0,0,0,1
5.16,9.42,46.28,272.31,1.65,0.01,14.96,1.73,34.73,0,1,0,0
5.91,6.48,28.08,267.35,0.89,0,22.14,0.58,29.63,1,1,1,1
7.79,9.39,190.99,233.61,1.94,0.01,12.49,5.75,31.04,0,1,0,1
7.68,9.36,26.93,45.64,0.58,0.01,22.65,4.76,29.46,0,1,0,1
5.46,9.09,38.1,274.95,0.25,0.01,21.97,1.92,35.73,0,1,0,1
7.82,9.49,142.29,175.24,1.37,0.01,17.22,0.7,35.17,0,0,0,1
6.42,9.49,173.84,29.61,1.46,0.02,12.58,5.58,35.83,0,1,0,1
6.73,9.17,141.93,56.36,0.96,0.01,12.18,0.48,31.05,0,0,0,1
5.92,6.38,122.23,298.45,0.56,0,11.08,0.09,29.34,0,0,0,0
5.47,6.22,46.62,69.17,1.14,0,10.13,0.81,28.07,1,1,1,1
7.46,6.42,47.13,35.29,0.44,0,15.07,2.61,31.71,1,1,1,1
5.53,6.44,33.24,35.82,1.01,0.01,22.69,5.26,33.7,1,1,1,1
5.27,6.2,134.47,57.79,1.48,0.01,23.41,5.46,28.68,0,0,0,0
6.36,6.29,128.57,30.45,1.06,0.01,24.86,0.47,28.93,0,0,0,0
7.16,6.4,48.99,62.37,1.12,0,14.77,4.49,36.51,1,1,1,1
5.16,9.47,40.6,161.6,0.4,0.01,22.27,4.81,30.31,0,1,0,1
6.35,6.03,147.55,215.27,1.77,0,21.4,5.22,28.92,0,0,0,0
5.61,6.04,195.1,165.4,1.63,0,14.91,0.2,28.98,0,0,0,0
5.75,9.25,110.43,51.82,0.4,0.01,23.81,0.68,30.65,0,1,0,1
7.71,9.42,131.98,263.71,0.58,0,20.11,0.35,33.93,0,0,0,1
6.28,6.32,144.27,24.34,1.74,0.01,23.16,0.97,36.89,0,0,0,1
7.51,9.3,137.47,263.2,1.48,0,22.75,0.75,31.21,0,0,0,1
6.08,9.19,41.42,71.47,1.23,0.02,19.5,0.51,31.63,0,1,0,1
6.26,9.02,40.95,61.65,1.95,0.02,22.85,5.45,29.73,0,1,0,1
7.7,6.38,184.66,40.81,1.03,0.01,15.5,4.79,30.86,0,0,0,0
7.81,6.03,49.27,73.26,1.38,0.01,22.2,0.95,30.65,1,1,1,1
6.93,9.43,107.95,202.25,0.32,0,20.65,3.56,31.52,0,1,0,1
5.64,9.45,44.43,33.61,0.64,0.01,10.84,1.57,31.77,0,1,0,1
6.79,9.22,108.84,179.53,0.35,0.02,14.97,3.04,34.75,0,1,0,1
6.37,6.21,27.96,25.07,0.07,0,19.96,0.5,33.7,1,1,1,1
6.51,9.43,37.62,63.85,0.22,0.01,23.59,4.87,31.56,0,1,0,1
7.35,9.31,41.97,43,0.28,0.01,11.79,3.77,33.36,0,1,0,1
6.8,6.23,28.25,174.35,0.16,0,22.47,0.89,28.21,1,1,1,1
7.49,6.27,179.36,22.5,1.12,0.01,23.37,0.92,36.98,0,0,0,1
7.41,6.09,167.97,190.12,1.3,0.01,14.25,0.9,31.65,0,0,0,1
7.75,9.08,180.15,29.14,0.24,0.02,24.66,2.07,31.21,0,1,0,1
6.3,9.46,30.12,192.15,1.53,0,18.18,0.92,36.22,0,1,0,1
5.91,6.2,33.59,49.48,0.35,0.01,23.4,0.89,35.51,1,1,1,1
6.34,6.4,44.57,59.82,1.76,0.02,18.67,2.89,34.82,1,1,1,1
6.59,9.48,37.04,30.37,1.38,0.01,23.06,1.9,29.44,0,1,0,1
7.92,6.5,158.24,223.31,1.62,0,10.52,0.83,34.95,0,0,0,1
5.75,6.26,166.04,58.87,1.28,0.01,17.84,0.14,34.37,0,0,0,1
6.08,9.18,171.3,27.02,1.76,0,15.69,0.27,35.82,0,0,0,1
5.04,9.11,47.51,38.65,0.13,0.02,20.43,0.39,36.23,0,1,0,1
5.27,9.18,152.92,32.87,0.57,0,12.92,4.23,30.34,0,1,0,0
7.86,9.5,48.67,55.34,0.75,0,18.11,0.16,32.62,0,1,0,1
5.61,9.2,194.01,252.36,1.55,0,23.25,0.03,29.18,0,0,0,0
6.81,9.13,39.5,56.76,1.02,0,22.79,4.51,28.54,0,1,0,1
7.47,9.37,125.85,263.27,0.54,0.01,13.67,2.16,32.81,0,1,0,0
7.74,9.44,137.61,267.47,1.16,0.01,22.3,1.24,28.53,0,1,0,0
7.66,6.3,47.54,30.05,0.03,0.01,12.83,1.27,30.16,1,1,1,1
6.45,9.43,104.68,174.77,0.79,0.01,18.09,3.18,32.7,0,1,0,1
5.47,9.14,185.15,150.15,0.4,0.01,13.7,0.93,31.1,0,0,0,1
5.64,9.32,46.26,28.32,0.64,0.02,23.02,0.4,32.76,0,1,0,1
5.42,6.46,109.19,22.75,1.9,0.02,12.83,4.67,29.76,1,1,0,0
5.12,9.16,26.17,46.69,0.86,0,23.61,0.61,32.45,0,1,0,1
7.6,9.31,136.03,265.53,1.3,0,19.52,0.6,28.72,0,0,0,0
5.38,6.1,168.6,201.27,1.68,0.02,23.81,0.27,33.83,0,0,0,1
5.42,6.25,197.26,252.97,1.46,0.02,17.84,2.02,29.19,0,0,0,0
5.89,9.27,127.59,47.39,0.94,0.01,24.9,0.25,32.68,0,0,0,1
7.17,6.1,118.23,57.32,0.29,0,13.91,3.45,33.35,1,1,0,1
7.65,9.2,165.99,26.4,0.97,0.01,11.36,0.86,32.31,0,0,0,1
5.72,6.14,25.59,274.34,0.18,0.01,15.52,2.92,30.41,1,1,1,0
5.4,6.07,45.94,234.61,1.3,0.01,13.93,0.31,29.18,1,1,1,1
7.89,6.25,43.96,257.96,0.43,0.01,24.58,0.41,28.12,1,1,1,1
6.34,6.12,127.48,253.43,0.25,0.01,19.98,0.11,33.62,0,0,0,1
7.47,9.42,31.61,57.37,1.42,0,21.68,0.01,34.37,0,1,0,1
6.18,6.23,196.02,30.56,0.16,0.01,23.74,2.46,29.11,0,0,0,0
6.86,6.29,40.53,45.97,0.86,0.01,13.28,0.83,29.63,1,1,1,1
7.28,6.31,104.72,72.14,1.92,0.01,17.37,0.07,35.33,1,1,0,1
6.82,9.16,30.05,262.85,0.16,0.01,11.98,0.37,31.36,0,1,0,0
6.52,9.42,36.19,35.68,1.23,0.01,14.13,1.5,33.66,0,1,0,1
5.61,9.33,193.11,181.98,0.85,0.01,13.93,0.58,29.04,0,0,0,0
7.66,9.13,100.79,24.63,0.2,0,22.78,4.94,33.17,0,1,0,1
5.68,6.07,42.29,72.58,0.26,0.01,22.59,0.3,34.35,1,1,1,1
5.3,6.44,188.93,72.59,1.28,0.02,18.96,0.27,29.61,0,0,0,0
5.72,6.23,102.07,189.55,1.34,0,16.88,3.13,30,1,1,0,0
7.08,6.06,29.31,44.99,1.94,0.01,17.1,2.32,31.63,1,1,1,1
5.06,9.2,26.77,55.41,1.67,0.01,20.26,1.68,30.55,0,1,0,1
7.45,6.45,39.46,55.76,0.87,0.02,23.71,0.2,29.03,1,1,1,1
5.61,9.17,34.87,161.7,1.77,0.02,16.93,0.69,32.24,0,1,0,1
7.31,9.23,102.28,186.83,0.31,0.01,13.82,0.03,32.94,0,0,0,1
5.73,6.29,160.49,22.37,1.3,0,18.2,0.85,28.15,0,0,0,0
7.66,9.36,28.61,59.05,0.94,0.02,20.94,4.48,32.17,0,1,0,1
6.08,6.43,35.97,291.7,0.05,0.01,18.44,0.92,28.59,1,1,1,0
5.18,9.19,27.19,24.25,0.13,0.01,14.98,0.23,28.91,0,1,0,1
7.28,6.38,34.12,20.01,0.27,0.01,17.78,0.46,31.58,1,1,1,1
6.95,9.44,138.99,210.89,0.53,0.02,23.67,0.98,31.21,0,0,0,1
6.23,9.37,103.32,172.36,0.75,0.01,22.22,4.08,33.58,0,1,0,1
7.16,6.47,111.54,282.09,0.86,0,10.41,0.69,28.23,1,1,0,0
6.24,9.1,37.53,271.83,0.39,0.01,15.95,0.98,28.88,0,1,0,0
7.75,9.33,144.21,34.64,1.74,0.02,17.98,0.23,35.47,0,0,0,1
6.16,6.24,26.06,27.86,0.64,0.01,17.15,5.35,36.36,1,1,1,1
6.63,9.16,117.12,236.61,0.58,0.01,13.48,0.67,36.51,0,1,0,1
5.22,9.11,29.68,206.02,1.67,0.02,24.16,2.71,29.63,0,1,0,1
7.39,6.34,41.56,47.5,0.75,0,21.03,3.29,29.88,1,1,1,1
7.47,6.49,101.4,33.7,1.88,0.02,21.68,1.25,31.23,1,1,0,1
6.26,9.05,47,239.26,1.73,0,23.57,0.06,28.3,0,1,0,1
7.05,6.08,143.1,32.15,1,0.02,24.84,0.34,35.17,0,0,0,1
7.15,9.5,26.02,234.77,0.02,0.01,15.85,0.74,35.44,0,1,0,1
5.27,6.33,33.24,30.86,0.78,0.01,20.82,0.74,31.89,1,1,1,1
5.82,6.14,33.63,32.26,0.82,0.01,15.39,0.15,36.31,1,1,1,1
5.61,9.39,42.93,29.78,1.93,0.01,14.26,0.48,33.02,0,1,0,1
5.31,6.01,32.55,30.51,0.38,0.01,23.65,0.65,33.77,1,1,1,1
6.96,9.19,42.24,29.83,1.77,0.01,21.8,0.57,34.41,0,1,0,1
5.26,6.14,104.42,69.08,0.93,0,15.86,1.65,29.94,1,1,0,0
7.22,9.25,25.75,227.56,1.47,0.02,18.26,4.48,29.83,0,1,0,1
6.25,6.45,187.19,278.85,0.81,0,14.64,4.35,36.69,0,0,0,0
6.98,9.27,122.19,71.76,0.61,0.01,11.56,0.44,30.07,0,0,0,0
6.44,6.32,174.97,197.97,1.24,0.02,24.75,0.69,31.36,0,0,0,1
6.05,6.32,26.84,210.91,0.85,0.02,12.01,0.69,31.05,1,1,1,1
7.18,6.21,37.21,66.5,0.88,0.02,17.81,3.85,36.99,1,1,1,1
6.46,9.33,134.82,59.04,1.65,0.01,15.64,0.98,31.54,0,0,0,1
5.93,6.28,195.83,71.62,0.8,0.01,13.55,5.17,31.39,0,0,0,1
6.17,9.1,27.82,37.17,0.25,0.02,11.2,0.64,34.11,0,1,0,1
7.86,6.17,31.84,158.89,1.64,0.01,18.52,0.42,35.22,1,1,1,1
6.04,9.16,32.73,183.03,0.09,0.02,14.51,1.12,30.82,0,1,0,1
6.38,6.19,29.02,276.56,1.47,0.01,22.25,4.52,36.9,1,1,1,1
6.99,9.43,40.07,41.31,1.82,0.01,23.96,0.84,31.36,0,1,0,1
6.44,6.16,144.76,273.74,1.79,0.02,19.6,0.28,31.64,0,0,0,0
6.89,6.42,140.78,206.81,0.54,0.01,23.23,4.28,30.59,0,0,0,0
6.62,9.4,41.21,68.67,0.29,0.01,23.9,3.71,32.54,0,1,0,1
5.1,6.33,198.24,237.76,1.2,0.01,21.21,0.93,30.31,0,0,0,0
5.76,6.08,115.44,271.25,0.34,0.01,14.19,0.23,32.41,1,1,0,0
7.29,9.04,37.56,256.51,1.21,0.01,14.73,0.49,29.11,0,1,0,1
7.48,9.29,46.82,203.49,1.27,0.01,20.53,5.61,28.48,0,1,0,1
7.96,6.2,107.47,195.66,1.89,0.01,16.19,0.35,31.77,1,1,0,1
5.23,9.4,48.8,259.21,0.4,0.01,21.23,3.53,31.62,0,1,0,1
6.11,9.27,27.6,68.27,1.95,0,23.74,0.74,28.07,0,1,0,1
7.37,6.02,42.61,282.45,0.29,0.02,17.47,1.93,36.76,1,1,1,0
5.47,9.37,44.94,286.4,1.21,0.01,16.5,5.36,33.28,0,1,0,0
6.72,6.1,31.75,36.79,0.45,0.01,19.19,2.85,33.79,1,1,1,1
5.89,6.18,45.36,235.96,1.07,0.01,20.58,0.29,30.04,1,1,1,1
7.63,6.33,35.22,267.29,1.95,0.01,16.34,0.1,28.32,1,1,1,0
7.55,6.14,29.8,21.22,0.17,0.01,17.9,0.18,28.84,1,1,1,1
5.74,9.25,188.28,189.94,1.93,0.01,10.2,4.25,31.99,0,1,0,1
7.67,6.05,107.68,73.45,0.21,0.01,23.51,1.46,32.98,1,1,0,1
7.94,9.46,45.14,211.17,0.71,0.01,15.37,4.92,35.16,0,1,0,1
5.05,6.2,183.31,26.82,1.01,0.01,21.67,5.56,32.51,0,0,0,1
7.49,6.29,183.32,31.38,1.51,0.01,15.01,3.02,30.03,0,0,0,0
5.68,9.11,135.58,179.19,1.12,0.01,14.23,0.27,29.22,0,0,0,0
6.12,6.33,35.75,62.31,1.83,0.02,10.21,2.76,34.39,1,1,1,1
7.6,6.02,142.2,34.65,1.87,0.01,20.63,3.2,29.35,0,0,0,0
7.5,9.05,155.81,62.29,0.83,0.01,17.02,0.28,33.48,0,0,0,1
7.95,6.23,33.13,212.37,0.19,0.01,23.68,0.92,29.5,1,1,1,1
5.47,9.08,173.69,185.71,1.07,0.02,18.6,0.79,36.4,0,0,0,1
7.77,9.12,42.24,58.07,1.11,0.01,12.52,0.23,28.02,0,1,0,1
6.17,9.02,113.55,73.83,1.48,0.01,22.7,0.08,34.96,0,0,0,1
7.15,9.37,33.72,56.74,0.76,0,17.22,2.8,29.54,0,1,0,1
7.37,9.49,130.19,281.64,0.65,0.01,13.88,0.41,32.7,0,0,0,0
5.8,6.39,26.25,56.17,1.76,0.02,13.71,0.63,29.99,1,1,1,1
6.23,6,47.75,167.5,1.79,0.02,22.66,1.88,36.82,1,1,1,1
5.96,6.44,35.82,181.37,1.27,0,21.36,5.73,29.32,1,1,1,1
5.61,9.12,45.7,152.47,0.27,0.01,17.21,0.7,31.67,0,1,0,1
6.16,9.4,38.85,211.08,1.84,0.02,18.11,3.9,32.13,0,1,0,1
6.57,6.21,30.06,208.53,0.55,0.01,19.46,0.62,28.57,1,1,1,1
7.92,6.24,190.15,253.31,1.85,0,21.64,0.98,33.03,0,0,0,1
7.72,9.22,189.08,23.06,0.47,0.02,13.34,2.86,35.12,0,1,0,1
7.42,6.38,194.9,30.48,0.88,0.01,22.87,0.15,36.9,0,0,0,1
7.02,6.35,44.68,35.06,1.39,0.01,24.89,0.39,36.74,1,1,1,1
5.65,9.07,157.07,197.72,1.96,0.01,10.51,4.75,36.03,0,1,0,1
6.69,6.15,26.37,287.97,0.61,0.02,17.49,5.06,34.39,1,1,1,0
5.67,6.17,49.99,40.94,0.62,0.02,19.63,0.11,33.47,1,1,1,1
6.39,9.09,148.15,246.06,0.23,0,17.69,3.65,32.31,0,1,0,1
5.34,6.4,156.86,155.29,1.04,0.01,21.12,0.46,35.38,0,0,0,1
5.88,6.2,157.06,46.42,1.23,0,19.64,3.77,33.07,0,0,0,1
6.09,9.02,153.91,39.64,1.41,0,21.97,0.58,35.27,0,0,0,1
6.31,6.39,157.06,31.16,1.83,0.01,19.52,0.54,28.41,0,0,0,0
6.47,9.18,34.15,274.79,1.95,0.01,23.2,0.51,29.54,0,1,0,1
6.41,9.3,47.1,214.56,1.87,0.01,23.63,0.6,33.45,0,1,0,1
7.56,6.43,25.05,168.38,0.7,0.01,23.12,4.28,32.87,1,1,1,1
5.56,9.09,48.62,293.99,0.52,0,22.3,1.12,34.2,0,1,0,1
5.93,9.27,47.54,212.57,1.65,0.02,18.74,4.29,32.58,0,1,0,1
7.35,9.12,130.98,52.77,1.23,0.02,15.84,3,30.48,0,1,0,0
6.39,6.4,29,181.28,1.32,0.01,14.19,1.69,28.92,1,1,1,1
5.56,6.27,29.95,176.54,1.83,0.01,19.9,4.13,34.04,1,1,1,1
5.36,6.49,47.24,51.59,1.21,0.02,21.61,0.2,30.73,1,1,1,1
6.54,6.41,184.23,151.03,1.1,0.01,17.1,2.16,35.91,0,0,0,1
7.16,6.25,40.49,35.59,1.75,0,16.5,4.73,31.24,1,1,1,1
5.29,9.14,186.68,21.2,1.86,0.01,22.77,0.5,35.82,0,0,0,1
7.32,9.38,172.41,60.39,1.87,0.01,22.46,3.36,34.47,0,1,0,1
5.63,6.04,194.31,209.01,1.71,0,11.49,0.61,35.42,0,0,0,1
6.58,9.06,41.27,239.44,1.72,0,20.64,4.11,35.37,0,1,0,1
5.43,6.41,162.72,26.99,1.48,0.01,23.41,1.81,32.97,0,0,0,1
6.3,6.41,127.7,37.02,1.12,0.02,22.48,5.2,33.45,0,0,0,1
5.51,9.4,29.8,58.36,1.07,0.01,23.97,3.31,31.51,0,1,0,1
7.32,6.47,36.19,154.61,0.98,0.01,19.11,0.27,36.5,1,1,1,1
5.67,9.05,164.1,252.99,0.1,0,15.65,4.22,31.88,0,1,0,1
6.17,6.28,38.81,57.02,1.84,0.02,21.58,0.27,30.87,1,1,1,1
6.28,6.17,126.26,203.93,1.09,0,11.55,2.8,29.6,0,0,0,0
7.19,9.22,28.14,56.87,0.92,0.01,20.62,0.42,29.48,0,1,0,1
6.55,6.47,151.2,51.03,0.53,0.01,24.67,0.92,31.55,0,0,0,1
5.16,9.02,29.58,168.63,1.66,0.01,16.39,5.27,31.44,0,1,0,1
6.41,6.39,158.08,56.44,1.81,0.01,24.69,2.2,30.79,0,0,0,0
7.72,9.09,192.82,72.95,1.34,0.02,20.47,0.2,30.02,0,0,0,0
7.06,9.33,26.81,44.82,1.81,0.01,23.88,0.2,36.29,0,1,0,1
5.32,9.33,37.96,207.08,1.7,0.02,21.12,5.67,34.61,0,1,0,1
7.53,6.12,37.92,26.97,0.45,0.02,23.54,0.14,36.87,1,1,1,1
6.39,9.07,171.69,297.54,0.4,0.01,24.86,5.18,28.53,0,1,0,0
7.17,9.49,102.44,66.62,1.2,0,16.83,0.61,28.23,0,1,0,1
6.46,6.13,148.41,29.85,1.9,0.01,15.54,0.99,31.68,0,0,0,1
6.1,9.24,118.68,74.91,1.09,0.01,23.48,4.72,34.5,0,1,0,1
5.57,9.15,29.34,209.27,0.97,0,23.69,2.59,31.35,0,1,0,1
5.31,9.04,29.17,43.41,0.2,0.01,23.09,4.66,29.68,0,1,0,1
7.27,6.14,147.94,25.95,1.44,0.02,23.46,0.64,29.04,0,0,0,0
5.21,9.1,37.42,186.3,1.21,0.01,24.74,3.81,33.23,0,1,0,1
5.99,9.07,28.21,63.42,1.88,0,10.4,0.83,34.75,0,1,0,1
5.39,6.19,37.46,29.47,0.53,0.01,22.61,5.52,35.99,1,1,1,1
5.09,6.07,29.44,31.55,1.04,0.02,13.38,0.08,36.08,1,1,1,1
7.11,6.4,109.6,59.73,1.31,0.02,21.28,0.28,28.3,1,1,0,0
7.29,6.29,37.42,217.31,0.02,0.01,21.76,5.23,30.45,1,1,1,1
6.71,9.1,113.89,205.89,0.72,0.01,23.89,0.56,33.9,0,1,0,1
7.97,6.32,165.92,242.89,0.29,0.02,12.24,2.48,36.8,0,0,0,1
6.76,9.48,46.48,33.91,0.47,0,11.07,0.63,29.03,0,1,0,1
5.9,9.08,142.48,164.45,1.62,0.02,24.71,0.6,33.23,0,0,0,1
6.75,6.22,161.36,33.01,1.99,0,18.63,3.06,36.61,0,0,0,1
5.5,6.18,31.67,272.34,1.66,0.01,20.94,0.15,30.13,1,1,1,1
5.71,9.28,26.57,162.57,0.04,0.01,20.96,0.67,30.82,0,1,0,1
5.26,9.13,177.42,269.79,1.71,0.01,22.12,4.05,33.25,0,1,0,1
6.98,9.05,49,295.86,1.15,0.01,21.43,0.78,28.04,0,1,0,1
7.65,9.3,26.55,41.68,1.26,0.01,15.79,0.94,29.31,0,1,0,1
7.97,9.3,26.01,66.58,0.88,0.01,18.87,0.01,28.39,0,1,0,1
7.59,9.28,40.46,230.67,0.92,0.02,15.34,0.38,33.96,0,1,0,1
5.55,6.4,114.2,35.39,2,0.01,18.39,2.21,36.05,1,1,0,1
7.35,6.18,121.39,282.74,1.85,0.02,18.08,0.81,32.7,0,0,0,0
5.48,9.42,40.54,51.51,1.39,0,24.44,0.44,29.89,0,1,0,1
5.19,6.09,136.32,156.52,0.73,0.02,24.47,0.75,28.83,0,0,0,0
6.27,9.22,26.56,21.24,1.68,0.02,21.99,5.67,30.15,0,1,0,1
6.54,9.23,136.22,34.5,0.87,0.02,23.07,5.72,33.17,0,1,0,1
6.96,9.29,41.58,29.92,1.81,0.02,23.4,3.83,29.64,0,1,0,1
7.67,6.06,126.94,72.75,0.29,0,18.46,3.36,28.01,0,0,0,0
6.74,9.11,29.77,68.7,0.43,0,22.7,1.98,35.98,0,1,0,1
7.51,9.39,26.23,68.28,1.5,0.01,12.7,4.33,28.43,0,1,0,1
5.64,6.15,177.11,48.55,0.92,0,20.39,2.5,30.04,0,0,0,0
5.82,9.19,140.93,27.08,1.57,0.01,18.48,0.22,32.51,0,0,0,1
6.16,6.5,163.91,193.46,0.03,0.02,22.95,4.89,36.06,0,0,0,1
5.75,6.03,44.8,252.11,0.81,0.01,17.74,4.98,32.62,1,1,1,1
7.83,6.41,155.95,229.19,0.31,0.01,24.94,0.62,28.29,0,0,0,0
7.52,6.34,153.86,244.44,0.89,0,24.92,0.74,34.08,0,0,0,1
7.32,9.2,157.42,184.69,0.7,0.01,19.33,0.35,31.5,0,0,0,1
5.27,9.45,38.16,74.28,0.79,0,15.09,0.01,36.37,0,1,0,1
5.53,6.06,164.38,181.05,1.68,0,22.26,4.82,36.65,0,0,0,1
5.65,6.42,107.21,296.68,1.8,0,10.61,2.46,32.69,1,1,0,0
7.06,6.03,36.18,63.55,0.4,0,10.78,3.64,32.14,1,1,1,1
5.18,6.15,34.74,35.55,0.47,0.01,18.72,0.6,35.96,1,1,1,1
6.79,9.19,112.19,71.84,0.06,0,23.75,1.12,32.83,0,1,0,1
7.04,9.27,106.69,44.6,0.59,0.01,21.12,4.04,30.84,0,1,0,1
6.1,6.36,154.78,187.93,0.04,0.02,19.56,5.66,34,0,0,0,1
7.85,6.2,45.74,202.6,1.36,0.01,24.48,2.79,36.14,1,1,1,1
6.02,6.1,143.53,182.53,1.19,0.01,21.66,5.62,28.85,0,0,0,0
7.4,9.35,140.28,298.5,0.64,0.02,10.02,1.63,36.26,0,1,0,0
5.37,9.31,30.97,283.88,0.54,0.01,20.18,5.51,30.17,0,1,0,1
6.45,6.18,29.64,47.45,0.89,0.02,17.41,3.32,31.41,1,1,1,1
6.46,6.06,38.04,55.88,0.54,0,13.08,2.38,33.75,1,1,1,1
5.2,9.33,196.28,185.88,0.8,0,12.54,3.66,34.57,0,1,0,1
6.87,9.21,176.18,24.1,0.85,0.01,12.37,0.63,31.57,0,0,0,1
7.63,9.13,198.08,43.92,0.12,0.01,11.07,0.13,30.18,0,0,0,0
7.74,6.46,199.01,172.63,0.94,0.02,24.05,0.72,31.65,0,0,0,1
6.23,6.41,47.16,47.21,0.52,0.01,11.49,0.72,30.19,1,1,1,1
5.74,9.25,29.98,151.89,1.07,0,14.61,0.33,28.52,0,1,0,1
5.12,9.26,43.56,31.98,0.64,0,11.97,3.13,31.05,0,1,0,1
5.74,6.48,49.66,57.61,0.28,0.02,19.22,0.11,29.69,1,1,1,1
5.47,6.39,139.27,150.22,0.62,0.01,19.86,0.92,30.83,0,0,0,0
6.32,9.29,36.54,259.89,0.23,0.01,17.63,0.02,30.32,0,1,0,1
5.73,9.13,157.51,61.86,1.31,0.02,22.97,0.81,31.85,0,0,0,1
6.53,9.46,199.52,184.57,0.58,0.01,24.7,0.76,31.1,0,0,0,1
7.95,6.14,178.03,68.62,1.95,0,21.81,1.28,35.14,0,0,0,1
5.65,6.25,41.58,65.39,0.25,0.02,16.59,2.06,36.95,1,1,1,1
5.02,6.49,42.04,294.79,0.8,0.02,24.65,0.82,32.16,1,1,1,1
7.32,6.01,27.88,169.89,1.96,0.01,11.76,0.49,36.29,1,1,1,1
5.08,6.43,32.04,282.38,1.13,0,11.7,0.12,31.99,1,1,1,0
6.36,6.23,121.24,192.64,1.56,0,10.64,0.13,29.83,0,0,0,0
7.82,6.09,127.19,299.24,1.53,0,21.66,5.07,29.29,0,0,0,0
7.94,6.39,45.32,233.29,1.32,0.02,15.44,4.89,29.98,1,1,1,1
6.93,6.12,182.57,252.94,0.57,0,23.51,0.55,35.35,0,0,0,1
